reviewerName,expertiseAreas
V. Leung,"matrix (chemical analysis), stochastic gradient descent, regularization, overfitting, initialization"
Po-Ting Lai,"matrix (chemical analysis), fetch, genomic, stochastic gradient descent, regularization, overfitting, fragmentation, initialization"
Mohammad Asif Habibi,"matrix (chemical analysis), data governance, big data, low-rank approximation, rank (graph theory), matrix completion, differential privacy, regularization, home automation, smart meter"
Ziad Al-Sharif,"matrix (chemical analysis), rank (graph theory), regularization, initialization"
Yiran Shi,"matrix (chemical analysis), rank (graph theory), regularization, initialization"
Isma Farah Siddiqui,"matrix (chemical analysis), rank (graph theory), edge device, regularization, mobile cloud computing, initialization"
M. Varma,"data processing, big data, pruning"
Kazumi Saito,"data processing, instrumentation, cyberinfrastructure"
Kai Zheng,"data processing, big data, complex event processing"
R. Ramachandran,"data processing, service level, big data, service-level agreement, complex event processing"
Shaohua Wang,"data processing, provisioning, big data"
Ankur Gupta,"data processing, provisioning, big data, association (psychology)"
Xiaofeng Yu,"data processing, provisioning, big data"
Panagiotis Moutafis,"data processing, stream processing, big data, speedup"
S. Gomathi,"data processing, spark (programming language), big data, data analysis, python, replication"
S. Lalitha,"data processing, big data, statistic, elasticity, profiling (computer programming)"
Nina Narodytska,"data processing, big data, profiling (computer programming)"
M. Serafini,"data processing, spark (programming language), big data, data management"
Farhoud Hosseinpour,"data processing, spark (programming language), big data, open research, business intelligence, blueprint"
Minghua Chen,"data processing, sensor node"
Xiaowei Xu,"data processing, data set, real-time data"
R. Kok,"data processing, data set, real-time data"
Nguyen Minh Quy,"data processing, isolation, software portability"
I. Sassoon,"data processing, pandemic, coronavirus, cytokine storm"
Y. Qiao,"data processing, big data, indexing, database index"
Chong Zheng,"data processing, big data, indexing, database index"
Yanchao Tan,"data processing, big data, indexing, database index"
P. Heng,"data processing, potential game, big data"
Ramzi Zouari,"data processing, potential game, big data"
Mujeeb ur Rehman,"data processing, spark (programming language), underpinning, big data"
J. Martinez-Agosto,"data processing, pyrosequencing, fog computing, big data, data analysis, data management, data center, edge device, pleurotus"
N. Golmie,"data processing, big data, distributed file system"
Qing Li,"data processing, identification, big data, distributed file system, synthetic data, privacy protection, generative model"
Mérouane Debbah,"data processing, identification, representation, big data, distributed file system, benchmark (surveying), argument (complex analysis)"
L. Bittencourt,"data processing, graph algorithms, hardware acceleration"
Hai Jin,"data processing, big data, distributed file system, benchmark (surveying), petabyte"
W. Meng,"data processing, big data, distributed file system, benchmark (surveying), petabyte"
B. Cui,"data processing, data set, dynamism"
M. Nazir,"data processing, data set, perceptron, big data, binary classification, python, data management, linked data, dynamism, complex event processing"
Ashvin Agrawal,"data processing, data set, sensor fusion, dynamism, participatory sensing"
Haryadi S. Gunawi,"data processing, big data"
R. Singh,"data processing, big data"
Xi Chen,"data processing, base (topology)"
F. Bader,"data processing, base (topology)"
Davide Gadioli,"data processing, base (topology)"
Zhongguo Yang,"data processing, stream processing, spark (programming language), exascale computing, big data, location-based service, mobile edge computing"
Feng Xia,data processing
Zhengjiang Wu,"data processing, big data"
T. Skaar,"data processing, spark (programming language), ranging, big data"
Nagender Aneja,"data processing, spark (programming language), ranging, spare part, semi-structured data, fog computing, big data, task analysis, computation offloading"
Takshi Gupta,"data processing, spark (programming language), big data"
J. Ren,"data processing, spark (programming language), big data"
Seokjoo Shin,"data processing, stream processing, edge device"
Toshiyuki Amagasa,"data processing, big data, indexing, parallel processing"
Bingyi Liu,"data processing, big data, indexing, parallel processing"
Insang Song,"data processing, conic section, ellipse"
Zhenyuan Ruan,"data processing, big data"
Zhe Song,"data processing, data sharing, online machine learning, indexing, speedup, data aggregator, parallel processing, spatial query"
Q. Ren,"data processing, data sharing, data aggregator"
Ran Xu,"data processing, data sharing, data aggregator"
Yuan Xu,"data processing, stream processing, spark (programming language), big data, python, edge device, blueprint"
Jingsong Li,"data processing, compound heterozygosity, pcsk9, edge device, blueprint, ezetimibe"
Rubin Wang,"data processing, stream processing, data analysis, edge device"
Xi Zheng,"data processing, stream processing, data analysis, edge device, mobile edge computing, computation offloading"
Jie Bao,"data processing, identification, big data"
A. Hao,"data processing, big data"
Ghada Besbes,"data processing, big data"
Xin Xia,"data processing, merge (version control), associative array"
P. V. Reddy,"data processing, associative array, homomorphic encryption, mining, distributed database, paillier cryptosystem"
J. M. Manzano,"data processing, associative array, rank (graph theory)"
C. Dubnicki,"data processing, data exchange, information flow, spark (programming language), smart city, smart environment"
Jun Tian,"data processing, data exchange, information flow, spark (programming language), big data, encryption, homomorphic encryption, smart city, hierarchical clustering, smart environment, linkage (software)"
M. Schneps-Schneppe,"data processing, big data, online analytical processing"
Donglan Liu,"data processing, process modeling, business process discovery, big data, fuse (electrical)"
Dequan Xu,"data processing, representation, big data, industrial internet, external data representation"
M. Wimmer,"data processing, netcdf, speedup"
Ganapathy Sannasi,"data processing, netcdf, speedup"
Amaury Trujillo,"data processing, spark (programming language), underpinning, honeypot, testbed, private information retrieval"
C. del-Valle-Soto,"data processing, spark (programming language), underpinning, health"
E. V. Brazil,"data processing, sensor fusion, data analysis, data aggregator, smart objects"
Saheed Ajayi,data processing
Rappy Saha,"data processing, spark (programming language), computer cluster, in-memory processing"
Feng Shi,"data processing, spark (programming language), computer cluster, in-memory processing, resource management"
Qi Li,"data processing, spark (programming language), computer cluster, in-memory processing"
Anass El Haddadi,"data processing, stream processing, big data, data analysis"
Chieh-Ming Wu,"data processing, stream processing, big data, data analysis"
Tianqi Yu,"data processing, similarity (geometry), big data, data analysis, data management, mobile edge computing, computation offloading"
Gihwan Oh,"data processing, anticipation (artificial intelligence), viewpoints"
Chen Wang,data processing
D. B. Haddad,"data processing, spark (programming language), speedup, heap (data structure)"
E. Ayguadé,"data processing, sensor fusion, spark (programming language), theory of computation, speedup, heap (data structure), tracing"
R. Ionescu,"data processing, application layer"
S. Sawalha,"data processing, application layer"
M. Kabuka,"data processing, scope (computer science), big data"
Maurizio Toccu,"data processing, scope (computer science), big data"
Mozhdeh Ariannezhad,"data processing, scope (computer science), big data"
Abdul Waheed,"data processing, spark (programming language), big data"
Abdulrakeeb M. Al-Ssulami,"data processing, spark (programming language), big data"
Wei Sun,"data processing, component (thermodynamics), privacy protection, robustness"
Uma Narayanan,"data processing, component (thermodynamics)"
N. Carr,"data processing, data sharing, distributed data store, file server, dram"
Ming Xu,"data processing, dram"
Hiroaki Ozaki,"data processing, dram"
Sheng Wang,"data processing, big data, speedup, auxiliary memory"
L. Karim,"data processing, big data, speedup, dram, memory bandwidth, cloud database, auxiliary memory, memory hierarchy"
Xin Zhang,"data processing, big data, speedup, auxiliary memory"
Jing Lin,"data processing, spark (programming language), tree (set theory), mining, transformer"
Momen Oqaily,"data processing, data migration"
S. Mishra,"data processing, data migration"
Asad Abbas,"data processing, data migration"
M. Erol-Kantarci,"data processing, unstructured data, big data, presentation (obstetrics)"
Francesca Bugiotti,"data processing, representation, unstructured data, big data, presentation (obstetrics)"
Yimu Guo,"data processing, data governance, unstructured data, big data, enterprise data management, presentation (obstetrics)"
M. Farag,"data processing, consumption, modularity"
P. Guérin,"data processing, disease, diagnosis, monkeypox, orthopoxvirus, mendelian inheritance, human disease, speedup, amplicon, model organism"
J. Haworth,"data processing, speedup, dissolved gas analysis, self-organizing map"
Yudong Chen,"data processing, speedup"
Yanbin Tu,data processing
R. Wolski,"data processing, big data"
Yue Zhao,"data processing, identification, representation, big data, dependency graph, code (set theory), commit"
E. Papageorgiou,"data processing, stream processing, edge device, elasticity"
Yongping Xiong,"data processing, stream processing, big data, edge device, elasticity"
Smisha Agarwal,"data processing, drug reaction, genomic, big data, data analysis, personalized medicine, pharmacogenomics, drug development, facilitator, illumina dye sequencing, nanopore, sequence assembly"
Yejin Kim,"data processing, big data, data analysis, implementation, facilitator"
S. A. Parah,"data processing, virtual space, tree (set theory), metaverse, complex event processing, trie"
Gautam Srivastava,"data processing, gateway (web page), component (thermodynamics), home automation"
S. Wallace,"data processing, big data, leverage (statistics)"
Jenn-Wei Lin,"data processing, big data"
A. Abbas,data processing
Faheem Khan,data processing
Behrooz Omidvar-Tehrani,"data processing, stream processing, spark (programming language), shuffling, big data, databases, rank (graph theory), distributed database, enabling"
Mingyu Cui,"data processing, stream processing, spark (programming language), big data, indexing, enabling"
Shantipriya Parida,"data processing, stream processing, spark (programming language), big data, enabling"
Brenton Louie,"data processing, stream processing, edge device"
D. Dou,"data processing, research center, data center, center (category theory)"
M. Gourisaria,"data processing, stream processing, spark (programming language), normalization, research center, big data, python, data center, least-squares function approximation, ellipse, center (category theory), initialization"
P. M. Tasinaffo,"data processing, research center, big data, data center, rss, center (category theory)"
R. El-Kareh,"data processing, big data, resource management"
P. Dillenbourg,data processing
Lexi Xu,data processing
G. Gibson,"data processing, solid phase extraction, spark (programming language), anthraquinones, distributed data store"
Lin Shen,"data processing, spark (programming language), distributed data store"
M. F. Bashir,"data processing, spark (programming language), distributed data store"
R. Ahmad,"data processing, fog computing"
Albert Y. Zomaya,"data processing, robustness, access method"
Alessio Burrello,"data processing, spark (programming language), big data"
Huajun He,data processing
M. Musen,"data processing, emerging technologies, data aggregator, tracking (education), health professionals"
H. Plattner,data processing
Farouk Dako,data processing
H. Chiroma,"data processing, data sharing, data aggregator"
N. H. Nguyen,data processing
Gabriel Antoniu,"data processing, homomorphic encryption"
N. Mahi,data processing
Takoua Abdellatif,"data processing, cost reduction, big data"
Z. Shao,"data processing, data pre-processing, distributed data store, big data, data analysis, distributed file system, data management, distributed database, response time"
M. Seltzer,"data processing, data pre-processing, distributed data store, big data, leverage (statistics), distributed file system, vulnerability, data management, distributed database, response time"
G. Stegmayer,"data processing, data pre-processing, distributed data store, big data, distributed file system, data management, distributed database, response time"
Ebrahim Mahdipour,"data processing, big data, speedup"
J. Misic,"data processing, vehicle routing problem"
Misbah Liaqat,data processing
Pu Duan,"data processing, edge device"
Mustafa Karaköy,"data processing, edge device"
Xuejin Gao,"data processing, stream processing, batch processing, ensemble learning, big data, data processing system, concept drift"
Miryeong Kwon,"data processing, stream processing, batch processing, big data, cyber-physical system, open research, data processing system, data management, 2019-20 coronavirus outbreak, spike protein"
Idria Maita,"data processing, spark (programming language)"
Ado Adamou Abba Ari,"data processing, distributed ledger, distributed database, benchmarking, smart contract"
A. Benczúr,"data processing, distributed ledger, distributed database, benchmarking, argument (complex analysis), argumentative, smart contract"
S. Suwelack,"data processing, merge (version control)"
Jiayi Hou,"data processing, merge (version control)"
Y. Shan,"data processing, stream processing, disease, diagnosis, coprocessor, kernel (algebra)"
F. Fontanili,"data processing, big data"
I. Shafi,"data processing, big data, data analysis, processor scheduling"
Liangmin Guo,"data processing, big data"
Shengwei Ji,"data processing, big data"
K. Brønnick,data processing
Lukasz Wisniewski,"data processing, big data, maximization"
Sebastián Villarroya,"data processing, big data, leverage (statistics), maximization"
B. Zolfaghari,"data processing, big data, maximization, benchmark (surveying), variation (astronomy), local optimum"
K. Brown,"data processing, temporal database, spatial query, online aggregation, range query (database)"
A. Ullah,"data processing, temporal database, spatial query, online aggregation, range query (database)"
M. N. Dehkordi,data processing
Ming Tao,data processing
A. Bardhi,"data processing, health, multilocus sequence typing"
M. Khan,"data processing, data access layer, antifungal drugs, internalization, cell membrane"
Shaowen Wang,"data processing, stream processing, fog computing, data analysis, data access layer"
H. Hua,"data processing, big data, distributed ledger, indexing, ledger, mobile edge computing"
Songsong Mo,"data processing, big data"
João Bachiega,"data processing, edge device"
Zhen He,"data processing, map reduce"
Guihai Chen,"data processing, map reduce, security analysis"
Bahareh Rabbani,"data processing, data sharing, disease, data analysis, leverage (statistics), data management, data extraction"
A. Bernabé-Ortiz,"data processing, data analysis, data management, data extraction"
M. Farràs,"data processing, data analysis, data management, data extraction"
John R. Kitchin,"data processing, spatial query"
S. Khalid,"data processing, spatial query"
Juraj Vladika,"data processing, spatial query"
Lu Pan,"data processing, associative array, testbed"
Antonio Corradi,"data processing, associative array, testbed"
Yingjun Wu,"data processing, speedup, distributed database"
Arjun Krishnan,"data processing, big data, microgrid, speedup, distributed database, safer"
I. Vorontsov,"data processing, speedup, distributed database"
Qinghua Hu,"data processing, spark (programming language), big data, data management, data type"
M. Humayun,"data processing, spark (programming language), big data, benchmark (surveying), data management, regularization, data type"
Yi Yang,"data processing, spark (programming language), big data, data management, edge device, smart objects, data type"
Ville Mäkinen,"data processing, memory footprint"
Youri Popoff,"data processing, memory footprint"
Nauman Ali,data processing
M. Tang,data processing
Joshua L. Rein,data processing
M. Prasad,"data processing, abstraction"
Emanuele Parisi,"data processing, big data, data analysis"
T. Svalova,"data processing, big data, data analysis"
Xiaoyong Du,"data processing, transfer of learning, encode, cwm"
Ke Wei,data processing
A. Tari,"data processing, big data, terabyte"
S. Saydam,"data processing, software analytics, big data, data analysis, strengths and weaknesses"
Guowen Xu,"data processing, business case, big data, business intelligence"
O. Ma,"data processing, business case, big data, business intelligence"
Xiang Cheng,"data processing, business case, big data, encryption, business intelligence"
Qingyu Yang,data processing
Qicheng Lao,"data processing, spark (programming language), strengths and weaknesses"
N. Khoa,"data processing, data analysis, implementation, categorical variable, ibm"
Néstor Lucas Martínez,"data processing, data analysis, categorical variable"
Wei Li,data processing
A. Hannani,"data processing, scope (computer science), data pre-processing, data analysis, predictive analytics, leverage (statistics)"
Yufei Ding,data processing
H. Khan,data processing
Mobeen Shahroz,"data processing, big data"
Jianzhu Bao,"data processing, big data"
T. Kvamsdal,"data processing, big data, dissolved gas analysis"
Xin Su,"data processing, statistical analysis, big data, databases, homomorphic encryption"
Lexy von Diezmann,"data processing, data pre-processing"
Ishtiaq Ahmed,"data processing, representation, data model (gis), big data, mining, data migration, serialization"
D. Rader,"data processing, data model (gis), big data, brain tumor, mining, data migration, serialization, cell therapy"
Zhenni Li,data processing
Hongtao Lei,"data processing, ensemble learning, ensemble forecasting, multi-label classification, initialization"
A. M. Abdelbar,data processing
Junzhe Zhang,data processing
Yuan-Gen Wang,"data processing, stream processing, batch processing, data processing system, parallel processing"
Tingbo Hou,"data processing, stream processing, batch processing, data processing system, parallel processing"
Faisal Bukhari,"data processing, schema (genetic algorithms), vulnerability, mining, edge device, robustness, access method"
Bocheng Liu,"data processing, edge device"
Prashanth Rajivan,"data processing, stream processing, speedup, programmer, hardware acceleration"
R. Burdzik,"data processing, stream processing, programmer"
Wenzhong Guo,"data processing, data analysis, merge (version control), ellipse, distortion (music)"
Mohammad Hammoudeh,"data processing, data analysis, merge (version control)"
M. Abid,supervised learning
F. Baldi,supervised learning
J. Subrahmonia,"supervised learning, identification, boosting, big data, mining"
Ken Cai,"supervised learning, online machine learning, statistic"
M. Aboelmaged,"supervised learning, online machine learning, implementation, statistic"
Guoliang Xing,"supervised learning, predictive modelling, gradient boosting, boosting, elastic net regularization, code (set theory), lasso"
Guoju Gao,"supervised learning, predictive modelling, gradient boosting, boosting, elastic net regularization, lasso"
Jing Huang,"supervised learning, disease, regularization"
Josy ter Beek,"supervised learning, disease, regularization"
Huda S. A Al-Salem,"supervised learning, parasitology, genomic, diagnosis, transfer of learning, comparative genomics, functional genomics"
J. Wiggs,"supervised learning, diagnosis, transfer of learning, spillover effect, betacoronavirus, coronavirus, one health, global health"
Zhen Chen,"supervised learning, f1 score, isolation, transformer"
O. A. Wahab,"supervised learning, provisioning, big data, data analysis, f1 score, transformer, software portability, orchestration"
Liming Zhu,supervised learning
Shuqing He,"supervised learning, speedup, control reconfiguration, hardware acceleration"
P. H. Kassani,supervised learning
C. Quiroz-Reyes,"predictive modelling, lasso"
Li-ping Zhang,"predictive modelling, lasso"
Mustafa Karabicici,"predictive modelling, lasso"
L. Landry,"predictive modelling, disease, health"
Qi Zhang,"predictive modelling, disease, health"
M. de Rijke,"predictive modelling, big data, predictive analytics, privacy protection, differential privacy, privacy software"
N. Zlatanov,"predictive modelling, big data, predictive analytics"
A. Leonidis,"predictive modelling, spark (programming language), simplicity"
Chintan M. Bhatt,"predictive modelling, leverage (statistics), simplicity"
J. Neefjes,"predictive modelling, health"
P. Fox,predictive modelling
Yukui Zhang,predictive modelling
Jacklyn Stratton,"predictive modelling, cross-validation, gradient boosting, boosting, disease, elastic net regularization, adaboost, odds, categorical variable, polygenic risk score, lasso, atherosclerotic cardiovascular disease"
Mehak Khan,"predictive modelling, identification, data analysis, predictive analytics, autoencoder"
Siavash Rezaei,"predictive modelling, identification, data analysis, predictive analytics, autoencoder"
Grigoris Karvounarakis,"predictive modelling, identification, big data, data analysis, predictive analytics, word embedding, autoencoder"
C. Carlson,predictive modelling
F. Heinz,predictive modelling
Carlos Guestrin,"predictive modelling, cross-validation, perceptron, multilayer perceptron, secure communication, component (thermodynamics), application layer"
K. Ang,"predictive modelling, disease, coding region, stepwise regression, genome-wide association study, genetic association, genome, snp"
J. Grewal,"predictive modelling, disease, stepwise regression"
Bryce M. Warner,"predictive modelling, benchmark (surveying)"
Peilin Liu,"predictive modelling, benchmark (surveying)"
F. Duong,"predictive modelling, genome-wide association study, lasso"
P. Daly,predictive modelling
Magaly Martínez,predictive modelling
Yujiao Deng,predictive modelling
M. Kundi,"predictive modelling, big data, online machine learning, vulnerability, streaming data, hierarchical clustering, concept drift"
A. Rydosz,"predictive modelling, vulnerability"
E. Boerrigter,"predictive modelling, health records, electronic health record, follicular lymphoma, health, relative survival"
Zhankui He,"predictive modelling, popularity, health records, electronic health record, data management, health, microblogging"
Nam Ngoc Pham,predictive modelling
Ganmin Yin,predictive modelling
Weinan Zhang,predictive modelling
Miguel-Ángel Manso-Callejo,"predictive modelling, big data"
Olga V. Kalinina,predictive modelling
Guang Yang,"exploratory research, exploratory data analysis, mining"
Javad Sharifi‐Rad,"exploratory research, subgenus, distrust, genomic, proband, furin"
Dorottya Nagy‐Szakal,"exploratory research, scope (computer science), population genetics, clinical research, genomic, behavioural genetics"
Honglan Wei,"exploratory research, uterine fibroids, thematic analysis"
N. Chaturvedi,"exploratory research, thematic analysis"
W. Kelly,"exploratory research, affect"
A. Reingold,"exploratory research, affect, clinical practice, guideline"
Wenping Zhou,"exploratory research, affect"
Bernd Freisleben,"exploratory research, affect, zhàng, mining"
Ameema Zainab,"exploratory research, affect, zhàng, big data, data analysis, mining"
M. Kebísek,"software analytics, unstructured data, disease, big data, data analysis, industry 4.0, digitization, relevance, emerging technologies, lagging"
Zhichun Zhu,"software analytics, spark (programming language), big data, data analysis, business analytics, business intelligence, web analytics"
Ruby Y. Tahboub,"software analytics, spark (programming language), big data, data analysis, business analytics, business intelligence, web analytics"
K. Chang,"software analytics, big data, data analysis, data storage, interface (matter)"
Iván Olmos,"software analytics, big data, data analysis, cultural analytics, business analytics, business intelligence"
Jianliang Gao,"software analytics, big data, data analysis, leverage (statistics), cultural analytics, business analytics, component (thermodynamics), business intelligence"
W. Ro,"software analytics, data analysis, learning analytics, mining, process mining"
Muhammad Abdullah Adnan,"software analytics, big data"
A. Turek,"software analytics, big data, mining"
Patrick Damme,"software analytics, big data"
Upaka S. Rathnayake,"software analytics, big data, data analysis, business analytics, web analytics"
Ping Wang,"software analytics, data analysis"
Jianxi Fan,"software analytics, data analysis, data architecture"
T. Mir,"software analytics, big data, data analysis, business analytics, web crawler, business intelligence"
Huan Liu,"software analytics, big data, data analysis, encryption, isolation, basal area, business analytics, business intelligence, forest inventory"
Pan Hui,"software analytics, big data, data analysis, business analytics, business intelligence"
V. Natarajan,"software analytics, big data, data analysis, business intelligence"
Jiadai Wang,"software analytics, data pre-processing, boosting, big data, data analysis, business intelligence"
F. Ariaei,"software analytics, big data, data analysis, business intelligence"
A. Alexandru,"software analytics, big data, data analysis, cultural analytics, business analytics, business intelligence"
R. Bayindir,"software analytics, big data, data analysis, cultural analytics, business analytics, business intelligence"
J. Sala-Álvarez,"software analytics, big data, data analysis, business analytics"
Lianyong Qi,"software analytics, big data, data analysis, leverage (statistics), open research, cultural analytics, pace, business analytics, federated learning"
Lin Qi,"software analytics, spark (programming language), big data, data analysis, cultural analytics, pace, business analytics"
Joo-Young Kim,"software analytics, data analysis, open research, orchestration"
Noa Roy-Hubara,"software analytics, data analysis, open research"
J. Campbell,"cancer genome sequencing, diagnosis, mitochondrial disease, exome"
I. Santana,"cancer genome sequencing, diagnosis, mitochondrial disease, exome"
C. Firth,"cancer genome sequencing, hybrid genome assembly, single cell sequencing, personal genomics, decipher, neuroradiology, isocitrate dehydrogenase, bacterial genome size"
A. Chan,"cancer genome sequencing, hybrid genome assembly, single cell sequencing, personal genomics, decipher, bacterial genome size"
L. Hemphill,"identification, diagnosis"
Christian Zerfaß,"identification, diagnosis"
Jahangir Amin,"identification, diagnosis"
Daowen Wang,"identification, biomarker discovery, proteome"
L. Middleton,"identification, rhinovirus, biomarker discovery, proteome"
Subru Krishnan,"identification, leverage (statistics), pandemic, 2019-20 coronavirus outbreak, modalities"
S. Handa,"identification, leverage (statistics), pandemic, 2019-20 coronavirus outbreak, modalities"
M. Fayez,"identification, exome"
K. Chaudhary,"identification, exome"
Lifeng Li,"identification, streptococcus dysgalactiae, diagnosis, streptococcus uberis, multiplex, california mastitis test"
J. Lefrandt,"identification, streptococcus dysgalactiae, diagnosis, streptococcus uberis, multiplex, california mastitis test"
Wen-xiao Gong,"identification, streptococcus dysgalactiae, diagnosis, streptococcus uberis, multiplex, california mastitis test"
Siew C Ng,"identification, genomic, disease"
F. Causa,"identification, genomic, disease"
Giorgio Cangioli,"identification, provisioning, big data, mining, basis (linear algebra)"
K. Remans,"identification, longitudinal study"
Rebekah E. McWhirter,"identification, longitudinal study, etiology"
Alejandra Hurtado-de-Mendoza,"identification, genome, receptor"
Zhiyi Liao,"identification, genome, receptor"
M. Kyrtsonis,"identification, cold stress"
C. R. Wooton-Kee,"identification, cold stress, betacoronavirus, coronavirus, 2019-20 coronavirus outbreak, spike protein"
Huiming Guo,identification
A. Satyagraha,identification
Tao Hu,"identification, genomic, disease, pandemic, coronavirus"
Sheng-Chun Sha,"identification, genomic, disease, estrogen receptor alpha, pandemic, foxa1"
William L. Lowe,"identification, genomic, disease, pandemic"
Vibha Jain,"identification, representation, benchmark (surveying), cardiac arrhythmia, overfitting, argument (complex analysis)"
G. Papadakis,"identification, representation, benchmark (surveying), net (polyhedron), microgrid, data management, indexing, zero (linguistics), argument (complex analysis)"
G. Kiselev,"identification, medical genetics, exome, mendelian inheritance, etiology, proband"
Joy D. Cogan,"identification, medical genetics, exome, mendelian inheritance, etiology, proband"
H. de Thé,"identification, similarity (geometry), medical genetics, exome, mendelian inheritance, coronavirus, 2019-20 coronavirus outbreak, sars virus, etiology, proband"
Tao Jiang,"identification, fragile x syndrome"
Abhinay Gontu,"identification, fragile x syndrome, chromatographic"
J. Hukkanen,"identification, fragile x syndrome"
Leela Ruckthong,"identification, benchmark (surveying)"
T. Verhoeven,"identification, genomic, prioritization"
J. Baker,"identification, genomic, prioritization"
Taha M. Alfakih,"identification, data sharing, global health"
Priyanka Singh,identification
Ming-xia Sun,identification
A. Vasemägi,identification
C. Holyoak,identification
Beatriz Romero-Rodríguez,identification
Z. Kutalik,"identification, diagnosis, monkeypox, biosafety, pandemic, novel virus"
R. Kupfer,"identification, diagnosis, monkeypox, biosafety, pandemic, novel virus"
Yanmei Li,"identification, network analysis, disease, gene regulatory network"
K. Döhner,"identification, enzalutamide"
Yaya Liu,identification
T. Talvik,"identification, big data, table (database), customer relationship management"
K. Wain,"identification, big data, table (database), crisis management, pandemic, coronavirus, 2019-20 coronavirus outbreak, customer relationship management"
D. Heiner,identification
J. Liu,"identification, stakeholder engagement"
Pu Wang,"identification, stakeholder engagement"
P. Poignard,identification
D. Jeannerat,identification
Shasha Li,"identification, diagnosis, pandemic, 2019-20 coronavirus outbreak"
M. Nadeem,"identification, discontinuation, trait"
M. I. Lali,"identification, f1 score, precision agriculture"
Jianwu Wang,"identification, spark (programming language), big data, f1 score, computer cluster, precision agriculture, buffer (optical fiber)"
I. Leong,"identification, proteome"
A. Pratelli,"identification, proteome"
M. Roe,"identification, proteome"
Md. Sazzadur Rahman,identification
A. Mirza,identification
Weifeng Gao,"identification, resilience, maintainability, smart city, complex event processing"
Davood Shafie,"identification, smart city, complex event processing"
Mohiuddin Abdul Qader,"identification, smart city, complex event processing"
Zina Ben-Miled,"identification, big data, green computing, consumption"
R. Hendrickson,"identification, genomic"
Kit Yan Chan,"identification, genomic, big data, indexing, distributed database"
T. Shi,"identification, biorepository, biosecurity"
Mihoko Akiyama,"identification, biorepository, biosecurity"
Yanxia Liu,"identification, epigenomics, differentially methylated regions, human genetics, anticancer drug, genomic imprinting, bisulfite sequencing"
M. Truica,"identification, cancer screening, telehealth"
R. Dreyer,"identification, cancer screening, telehealth"
D. Bu,identification
J. Ellwanger,identification
X. Ming,"identification, vulnerability, commit"
Daniel Augusto de Moura Pereira,"identification, vulnerability"
S. Shinde,"identification, stream processing, tree (set theory), vulnerability, bounding overwatch"
Qian Zhang,identification
Jinhua Li,"identification, disease, pandemic, regularization, labeled data"
H. Ruan,"identification, myzus persicae, hepatic stellate cell, immune checkpoint"
P. Moravkova,"identification, myzus persicae, human genetics"
Nicole Hupp,"identification, leverage (statistics), vulnerability, commit"
S. Salihoglu,"identification, leverage (statistics), vulnerability, commit"
J. Boshuizen,identification
Fang Lv,"identification, synthesis, carbon fibers"
A. M. McCart Reed,"identification, insider threat"
Rachel Urban,"identification, insider threat"
Xufei Wang,"identification, big data, distributed file system"
Xiang Wang,identification
A. Carniel,identification
S. Ivarsson,"identification, cell type"
M. B. Bin Sayeed,"identification, plasmonic nanoparticles, cell type, nanoclusters"
Hessam Mahdavifar,"identification, iris recognition"
A. Finzi,"identification, provisioning, download, interface (matter)"
Angelina Gaspero,"identification, provisioning, genomic, download, citizen science, global health, interface (matter), public health surveillance, disease surveillance, epidemiological surveillance"
Kewei Sha,"identification, iris (biosensor)"
Yiqi Lin,"identification, iris (biosensor)"
S. Keeney,"identification, genome-wide association study, genetic association, multifactorial inheritance, trait"
Yao Li,"identification, subgenus, coronavirus, genome-wide association study, lineage (genetic), genetic association, multifactorial inheritance, genome, trait, pangolin"
T. Marschall,"identification, suspect, trustworthiness"
Yingying Zhao,"identification, suspect, trustworthiness"
J. Rivière,"identification, signature (topology), gene signature"
L. You,"identification, pathway analysis, genomic, signature (topology), brain tumor, gene signature, metabolic pathway, targeted therapy"
J. Hanna,identification
B. Feenstra,identification
R. Krishnamurthi,"identification, big data, indexing, spatial query"
K. Sakurai,"identification, differential privacy, data publishing, temporal database"
Lukas Häfner,"identification, big data, differential privacy, data publishing, temporal database"
Jinghui Qiao,"identification, differential privacy, data publishing, temporal database, autoencoder"
Chunpeng He,"identification, human genetics, genome biology, personal genomics"
A. Grajewski,identification
Junhua Wang,"identification, data pre-processing, mining"
N. Beloff,"identification, big data"
N. Mei,identification
Yusen Li,"identification, representation, data set, data pre-processing, big data, data stream clustering, dependency graph, k-means clustering, code (set theory), commit"
Muhammad Jehanzeb,"identification, scarcity"
S. Madden,"identification, scarcity"
H. Eisthen,"identification, gut microbiome, metabolome, gram, gram-negative bacteria"
L. Brody,"identification, gut microbiome, metabolome"
D. Baurecht,"identification, adaboost"
Richard J. P. Brown,"identification, adaboost"
M. Azamian,identification
B. Nerima,identification
S. Holton,"identification, genomic"
Guixia Yu,"identification, genomic"
E. Maher,"identification, aptamer"
Lingdan Kong,"identification, aptamer"
O. Djekoune,"identification, genome"
Jian Qin,"identification, genome"
A. Solimano,"identification, ruminococcus, molecularly imprinted polymer, molecular imprinting, genome, ethylene glycol dimethacrylate, metabolome"
G. Griffin,"identification, scope (computer science), bioethics"
Chuihuai You,"identification, scope (computer science), bioethics"
Bhuchitra Singh,identification
R. Mansour,"identification, boosting, mining"
Han-Song Wu,"identification, 2019-20 coronavirus outbreak, liver cancer, viral pneumonia"
S. Muhaidat,"identification, mobile edge computing"
